# Binance official API catalog snapshot
# baseline_date: 2026-08-10
# source_catalog: https://developers.binance.com/en/docs/llms.txt
# source_detail: https://developers.binance.com/en/docs/llms-full.txt
# source_catalog_sha256: 44fa6608f682b03358e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# source_detail_sha256: 2edabba856125f393ea3e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# exposure: local public-surface classification; see README.md
# columns: official_product	interface	method	path_or_message	operation_id	authentication	risk	lifecycle	exposure
Futures (COIN-M) REST	Http	GET	/dapi/v1/commissionRate	userCommissionRate	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	POST	/dapi/v1/positionSide/dual	changePositionMode	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/userTrades	accountTradeList	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/allOrders	allOrders	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	POST	/dapi/v1/countdownCancelAll	autoCancelAllOpenOrders	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	DELETE	/dapi/v1/allOpenOrders	cancelAllOpenOrders	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	PUT	/dapi/v1/batchOrders	modifyMultipleOrders	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	POST	/dapi/v1/batchOrders	placeMultipleOrders	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	DELETE	/dapi/v1/batchOrders	cancelMultipleOrders	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/order	queryOrder	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	PUT	/dapi/v1/order	modifyOrder	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	POST	/dapi/v1/order	newOrder	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	DELETE	/dapi/v1/order	cancelOrder	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	POST	/dapi/v1/leverage	changeInitialLeverage	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	POST	/dapi/v1/marginType	changeMarginType	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/openOrders	currentAllOpenOrders	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/orderAmendment	getOrderModifyHistory	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/positionMargin/history	getPositionMarginChangeHistory	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	POST	/dapi/v1/positionMargin	modifyIsolatedPositionMargin	TRADE	FinancialWrite	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/adlQuantile	positionAdlQuantileEstimation	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/positionRisk	positionInformation	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/openOrder	queryCurrentOpenOrder	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/forceOrders	usersForceOrders	USER_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/futures/data/basis	basis	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/time	checkServerTime	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/aggTrades	compressedAggregateTradesList	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/continuousKlines	continuousContractKlineCandlestickData	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/exchangeInfo	exchangeInformation	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/fundingRate	getFundingRateHistoryOfPerpetualFutures	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/fundingInfo	getFundingRateInfo	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/premiumIndex	indexPriceAndMarkPrice	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/indexPriceKlines	indexPriceKlineCandlestickData	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/klines	klineCandlestickData	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/futures/data/globalLongShortAccountRatio	longShortRatio	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/markPriceKlines	markPriceKlineCandlestickData	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/historicalTrades	oldTradesLookup	MARKET_DATA	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/openInterest	openInterest	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/futures/data/openInterestHist	openInterestStatistics	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/depth	orderBook	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/premiumIndexKlines	premiumIndexKlineData	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/constituents	queryIndexPriceConstituents	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/trades	recentTradesList	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/ticker/bookTicker	symbolOrderBookTicker	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/dapi/v1/ticker/price	symbolPriceTicker	Public	Read	documented_active	provider_typed
Futures (COIN-M) REST	Http	GET	/futures/data/takerBuySellVol	takerBuySellVolume	Public	Read	documented_active	provider_typed
